bits,rep,exito,t_total_s,m_babysteps,rss_mb,build,t_lente_s,via
20,0,1,5.953,1025,29.3,original,5.919,bsgs_global
20,1,1,6.004,1025,30.4,original,5.919,bsgs_global
20,2,1,6.023,1025,31.0,original,5.919,bsgs_global
24,0,1,6.091,4097,32.3,original,6.047,bsgs_global
24,1,1,6.107,4097,32.8,original,6.047,bsgs_global
24,2,1,6.137,4097,33.4,original,6.047,bsgs_global
28,0,1,6.194,16385,35.9,original,6.068,bsgs_global
28,1,1,6.205,16385,36.6,original,6.068,bsgs_global
28,2,1,6.201,16385,37.1,original,6.068,bsgs_global
32,0,1,6.578,65537,46.8,original,6.138,bsgs_global
32,1,1,6.581,65537,47.8,original,6.138,bsgs_global
32,2,1,6.531,65537,49.2,original,6.138,bsgs_global
36,0,1,7.843,262145,87.9,original,6.113,bsgs_global
36,1,1,7.690,262145,91.3,original,6.113,bsgs_global
36,2,1,7.730,262145,94.8,original,6.113,bsgs_global
40,0,1,12.543,1048577,247.8,original,6.017,bsgs_global
40,0,1,12.823,1048577,241.8,parcheado,6.017,bsgs_global
44,0,1,34.457,4194305,842.2,parcheado,6.032,bsgs_global
48,0,1,119.035,16777217,3291.4,parcheado,6.100,bsgs_global
32,0,1,0.440,65537,,sin_prefiltro,0.0,bsgs_global
36,0,1,1.630,262145,,sin_prefiltro,0.0,bsgs_global
40,0,1,6.176,1048577,,sin_prefiltro,0.0,bsgs_global
