prueba,estadistico,valor,esperado,p
monobit,z,0.989,0,0.3227
monobit,p_up,0.50186,0.5,
rachas,z,2.877,0,0.0040
rachas,V,35905,35364,
racha_max_up,bits,15,16-19,
racha_max_down,bits,14,16-19,
nist_dft,d,-1.666,0,0.0958
fisher_g,g,2.834e-04,,0.7922
maurer,fn,6.20745,6.19625,0.3193
maurer,z,0.996,0,
apen_m10,H,0.685520,0.693147,
berlekamp_massey,L,35365,35364,
nist_lincomp,chi2,7.41,,0.2845
autocorr_lag1,r,-0.01528,0,
autocorr_lag1,z,-4.06,0,
umbral_multitest_4000lags,z,4.07,,
walsh_k12,max_z,4.09,4.08,
walsh_k16,max_z,4.10,4.71,
walsh_k20,max_z,4.89,5.27,
