serie,estadistico,real,nula_media,nula_p95,nula_max,p_empirico
signo_crudo,ciclo288,11.15,8.21,11.38,13.96,0.0741
signo_crudo,ciclo2016,8.70,8.32,11.90,13.85,0.3457
signo_crudo,bicoh,1.00,0.99,1.03,1.05,0.3210
signo_crudo,tf,15.80,14.55,17.28,26.62,0.2346
residuo_blanqueado,ciclo288,9.74,8.61,10.92,12.20,0.2593
residuo_blanqueado,ciclo2016,8.49,8.57,11.85,13.94,0.4815
residuo_blanqueado,bicoh,1.00,0.99,1.03,1.05,0.3580
residuo_blanqueado,tf,14.60,14.58,17.67,19.56,0.4938
magnitud_log_ret,ciclo288,11.82,14.22,20.42,23.95,0.7407
magnitud_log_ret,ciclo2016,74.37,29.61,50.42,62.71,0.0123
magnitud_log_ret,bicoh,29.73,33.53,36.05,38.00,0.9753
magnitud_log_ret,tf,176.86,102.92,164.55,201.81,0.0494
