replica,acierto_nula
0,0.506160
1,0.492475
2,0.497678
3,0.500603
4,0.502652
5,0.498815
6,0.498349
7,0.496127
8,0.503887
9,0.502983
10,0.499532
11,0.496592
12,0.495217
13,0.498697
14,0.495872
15,0.499162
16,0.499774
17,0.504615
18,0.497291
19,0.494427
20,0.500998
21,0.504564
22,0.503320
23,0.505321
24,0.503269
25,0.500640
26,0.504336
27,0.502095
28,0.503291
29,0.501782
30,0.498778
31,0.498362
32,0.498718
33,0.506131
34,0.500777
35,0.487243
36,0.500853
37,0.505376
38,0.496293
39,0.495432
40,0.501502
41,0.496027
42,0.499860
43,0.502422
44,0.499023
45,0.496230
46,0.498380
47,0.499752
48,0.495055
49,0.502131
50,0.503623
51,0.511162
52,0.497466
53,0.497372
54,0.497369
55,0.490074
56,0.494003
57,0.494283
58,0.504475
59,0.507838
60,0.489749
61,0.496607
62,0.498585
63,0.498199
64,0.503225
65,0.498699
66,0.492582
67,0.509045
68,0.500000
69,0.499391
70,0.493461
71,0.490963
72,0.512912
73,0.497896
74,0.500567
75,0.503648
76,0.504403
77,0.495905
78,0.498637
79,0.498241
80,0.498432
81,0.500835
82,0.495348
83,0.498926
84,0.496328
85,0.496229
86,0.505261
87,0.497040
88,0.498337
89,0.492857
90,0.495505
91,0.506476
92,0.498653
93,0.504979
94,0.500126
95,0.501972
96,0.502364
97,0.498074
98,0.505242
99,0.496871
100,0.505281
101,0.501741
102,0.498622
103,0.505101
104,0.496991
105,0.504784
106,0.487681
107,0.493031
108,0.498597
109,0.499624
110,0.500117
111,0.500853
112,0.498351
113,0.501521
114,0.488837
115,0.502861
116,0.502290
117,0.500879
118,0.499676
119,0.500765
120,0.498636
121,0.499479
122,0.491825
123,0.501642
124,0.502449
125,0.500559
126,0.496634
127,0.497433
128,0.500064
129,0.497400
130,0.500810
131,0.491880
132,0.498031
133,0.496055
134,0.505243
135,0.502394
136,0.504798
137,0.501998
138,0.507324
139,0.493315
140,0.511135
141,0.509622
142,0.497361
143,0.499236
144,0.500458
145,0.493138
146,0.491158
147,0.499906
148,0.499497
149,0.501402
150,0.495158
151,0.500829
152,0.500741
153,0.503821
154,0.497386
155,0.504483
156,0.497492
157,0.504515
158,0.492424
159,0.507790
160,0.500874
161,0.508892
162,0.503272
163,0.500000
164,0.497984
165,0.507560
166,0.497315
167,0.492017
168,0.493258
169,0.500254
170,0.496273
171,0.488694
172,0.500890
173,0.496539
174,0.500912
175,0.502573
176,0.496566
177,0.501681
178,0.499577
179,0.490995
180,0.496584
181,0.505841
182,0.496883
183,0.502469
184,0.503806
185,0.502059
186,0.499495
187,0.500574
188,0.502748
189,0.502463
190,0.497452
191,0.507720
192,0.497724
193,0.499675
194,0.497454
195,0.502842
196,0.500326
197,0.503977
198,0.492141
199,0.502356
200,0.493792
201,0.493329
202,0.494749
203,0.503892
204,0.499570
205,0.500673
206,0.502714
207,0.496274
208,0.501204
209,0.499616
210,0.495664
211,0.495648
212,0.499054
213,0.500792
214,0.499252
215,0.495094
216,0.496818
217,0.498368
218,0.502868
219,0.499570
220,0.501312
221,0.503140
222,0.497435
223,0.500103
224,0.499561
225,0.496295
226,0.504768
227,0.497254
228,0.507970
229,0.496676
230,0.501938
231,0.504701
232,0.495999
233,0.501732
234,0.501383
235,0.501403
236,0.494990
237,0.504834
238,0.503470
239,0.495007
240,0.509481
241,0.507356
242,0.498716
243,0.505340
244,0.503152
245,0.500670
246,0.494730
247,0.500226
248,0.506104
249,0.490396
250,0.507042
251,0.494652
252,0.496740
253,0.502681
254,0.499506
255,0.500129
256,0.496722
257,0.497498
258,0.506358
259,0.501399
260,0.500977
261,0.506540
262,0.504886
263,0.503122
264,0.498803
265,0.501803
266,0.497895
267,0.501609
268,0.493968
269,0.498977
270,0.490560
271,0.499119
272,0.502244
273,0.494816
274,0.504419
275,0.503484
276,0.497866
277,0.494719
278,0.504434
279,0.502262
280,0.498883
281,0.503308
282,0.496983
283,0.497305
284,0.503988
285,0.500000
286,0.496589
287,0.497736
288,0.500375
289,0.502725
290,0.502398
291,0.496481
292,0.500384
293,0.508530
294,0.505364
295,0.493330
296,0.500440
297,0.503701
298,0.504397
299,0.497905
