registro,verdad,sk_banda,etapa1,etapa2,z,p
normal_0,sano,0.5,sin_firma,,0.0,1.0000
normal_1,sano,0.5,sin_firma,,0.0,1.0000
normal_2,sano,0.6,sin_firma,,0.0,1.0000
normal_3,sano,0.9,sin_firma,,0.0,1.0000
IR007_0,BPFI,2.8,FALLO,BPFI,2.6,0.0229
IR007_1,BPFI,2.5,FALLO,BPFI,2.4,0.0114
B007_0,BSF2,0.6,sin_firma,,0.0,1.0000
B007_1,BSF2,0.2,sin_firma,,0.0,1.0000
OR007@6_0,BPFO,3.6,FALLO,BPFO,7.2,0.0086
OR007@6_1,BPFO,4.8,FALLO,BPFO,7.3,0.0057
OR007@3_0,BPFO,6.7,FALLO,BPFO,5.2,0.0086
OR007@12_0,BPFO,7.6,FALLO,BPFO,5.7,0.0086
IR021_0,BPFI,5.4,FALLO,BPFI,2.1,0.0514
B021_0,BSF2,9.4,FALLO,BSF2,5.8,0.0000
OR021@6_0,BPFO,22.6,FALLO,BPFO,6.2,0.0086
IR014_0,BPFI,22.3,FALLO,BPFI,2.0,0.0629
B014_0,BSF2,25.8,FALLO,BSF2,5.4,0.0000
OR014@6_0,BPFO,0.8,sin_firma,,0.0,1.0000
